,national,hor_name,hor_num,sex,age,debut,total_first,total_second,total_game,win_rate,total_game_1yr,total_earn,total_earn_1yr
0,한국,베스트골드,037819,암,4,-,0,0,0,0,0,0,0
1,한국,매드디바,040937,암,2,-,0,0,0,0,0,0,0
2,한국,슈퍼엑톤,040921,수,2,-,0,0,0,0,0,0,0
3,한국,슈퍼파크,041081,암,2,-,-,-,-,-,-,-,-
4,한국,스루더스카이,041182,거,2,-,-,-,-,-,-,-,-
5,한국,스마트돌풍,040371,수,2,-,-,-,-,-,-,-,-
6,한국,매직만점,041510,수,2,-,-,-,-,-,-,-,-
7,한국,스마트시티,040384,암,2,-,-,-,-,-,-,-,-
8,미국,매직알리바바,041862,암,2,-,-,-,-,-,-,-,-
9,한국,당찬바람,041450,암,2,-,0,0,0,0,0,0,0
0,미국,매직페인터,041864,암,2,-,-,-,-,-,-,-,-
1,미국,매직포스원,041886,거,2,-,-,-,-,-,-,-,-
2,한국,당대월드,039457,암,3,-,0,0,0,0,0,0,0
3,한국,당대소년,040661,거,2,-,-,-,-,-,-,-,-
4,한국,당대미소,040888,암,2,-,-,-,-,-,-,-,-
5,한국,매직플랜,040634,암,2,-,-,-,-,-,-,-,-
6,미국,매트루,041829,거,9,-,-,-,-,-,-,-,-
7,한국,스카이맨,041242,거,2,-,-,-,-,-,-,-,-
8,한국,블루킹,040403,수,2,-,0,0,0,0,0,0,0
9,한국,슈퍼럭키보이,040971,수,2,-,-,-,-,-,-,-,-
0,미국,슈룹,038307,암,3,-,-,-,-,-,-,-,-
1,미국,더트서퍼,043466,수,2,-,-,-,-,-,-,-,-
2,한국,마초홀릭,041072,수,2,-,-,-,-,-,-,-,-
3,한국,마하네단,041202,수,2,-,0,0,0,0,0,0,0
4,한국,더비스트,041452,수,2,-,-,-,-,-,-,-,-
5,한국,비상등,040902,암,2,-,0,0,0,0,0,0,0
6,미국,소울메리트,041851,수,2,-,-,-,-,-,-,-,-
7,한국,더드림,040523,거,2,-,-,-,-,-,-,-,-
8,한국,소중한골든,040687,거,2,-,-,-,-,-,-,-,-
9,한국,비바여왕,038923,암,3,-,0,0,0,0,0,0,0
0,한국,대형호재,040519,수,2,-,0,0,0,0,0,0,0
1,한국,비바드리머,040875,암,2,-,-,-,-,-,-,-,-
2,한국,만세,041041,수,2,-,0,0,0,0,0,0,0
3,미국,비무량,041905,수,2,-,-,-,-,-,-,-,-
4,한국,대일퀸,040695,암,2,-,-,-,-,-,-,-,-
5,한국,송암캔디,038978,거,3,-,0,0,0,0,0,0,0
6,한국,송암캣,040512,암,2,-,-,-,-,-,-,-,-
7,한국,대명다링퀸,039456,암,3,-,-,-,-,-,-,-,-
8,프랑스,맥시멈아우렐리우,040034,거,6,-,-,-,-,-,-,-,-
9,한국,블루케이,041613,암,2,-,-,-,-,-,-,-,-
0,한국,스카이선더,040899,암,2,-,-,-,-,-,-,-,-
1,한국,눈부신한센,041294,암,2,-,-,-,-,-,-,-,-
2,한국,스트롱레드,040685,암,2,-,-,-,-,-,-,-,-
3,한국,네버디피트,040713,수,2,-,-,-,-,-,-,-,-
4,한국,넘버원타깃,040810,암,2,-,-,-,-,-,-,-,-
5,한국,스페셜챔프,039210,암,3,-,0,0,0,0,0,0,0
6,한국,메니챔프,040901,수,2,-,0,0,0,0,0,0,0
7,한국,스프링데이,040721,수,2,-,-,-,-,-,-,-,-
8,한국,스프링컴,040425,거,2,-,0,0,0,0,0,0,0
9,미국,스프링킹,041867,거,2,-,0,0,0,0,0,0,0
0,미국,스피돔,043453,거,2,-,-,-,-,-,-,-,-
1,한국,스피드댄서,041062,암,2,-,-,-,-,-,-,-,-
2,한국,메니히어로,040517,수,2,-,0,0,0,0,0,0,0
3,한국,스피드버드,040985,수,2,-,-,-,-,-,-,-,-
4,호주,메디치스토리,043365,수,2,-,-,-,-,-,-,-,-
5,호주,메디치퀸,043368,암,2,-,-,-,-,-,-,-,-
6,아일랜드,기프티드마스터,041823,거,6,-,-,-,-,-,-,-,-
7,한국,블랙스미스,040555,수,2,-,-,-,-,-,-,-,-
8,한국,뉴드림,040669,수,2,-,0,0,0,0,0,0,0
9,한국,뉴문워리어,040479,거,2,-,-,-,-,-,-,-,-
0,한국,뉴비기닝,041518,암,2,-,-,-,-,-,-,-,-
1,한국,다행이다,041504,수,2,-,0,0,0,0,0,0,0
2,한국,다크피스,041157,암,2,-,-,-,-,-,-,-,-
3,프랑스,다이완세노라,040038,수,6,-,-,-,-,-,-,-,-
4,한국,머니라인,040846,수,2,-,0,0,0,0,0,0,0
5,한국,스카이여신,039325,암,3,-,-,-,-,-,-,-,-
6,한국,스카이타임,040623,암,2,-,-,-,-,-,-,-,-
7,한국,스카이퓨처,040458,거,2,-,-,-,-,-,-,-,-
8,한국,다이나믹펀치,040926,수,2,-,-,-,-,-,-,-,-
9,미국,다이나믹커밍,041848,수,2,-,0,0,0,0,0,0,0
0,한국,블루스타,039430,암,3,-,-,-,-,-,-,-,-
1,아일랜드,다운포스,040040,거,7,-,-,-,-,-,-,-,-
2,뉴질랜드,다니엘,040046,거,8,-,-,-,-,-,-,-,-
3,한국,다나은석세스,041507,거,2,-,-,-,-,-,-,-,-
4,한국,스타트매직,040638,수,2,-,-,-,-,-,-,-,-
5,한국,멋진금성,040824,수,2,-,0,0,0,0,0,0,0
6,한국,늑대전사,039789,수,3,-,-,-,-,-,-,-,-
7,미국,블랙펀치,043446,거,2,-,0,0,0,0,0,0,0
8,한국,데스플라잉,039449,암,3,-,-,-,-,-,-,-,-
9,한국,센킹,041225,수,2,-,-,-,-,-,-,-,-
0,한국,럭키플랜,040636,암,2,-,-,-,-,-,-,-,-
1,한국,럭키스마일,040364,암,2,-,-,-,-,-,-,-,-
2,한국,록라인,040946,수,2,-,-,-,-,-,-,-,-
3,한국,럭키석포,040716,거,2,-,-,-,-,-,-,-,-
4,한국,새내스퍼트,040897,수,2,-,0,0,0,0,0,0,0
5,미국,새내아이린,041911,암,2,-,-,-,-,-,-,-,-
6,한국,록하드스카이,039223,수,3,-,0,0,0,0,0,0,0
7,한국,럭키명호,040353,수,2,-,-,-,-,-,-,-,-
8,한국,새내초이스,040642,암,2,-,0,0,0,0,0,0,0
9,한국,사이먼퓨리,040378,수,2,-,-,-,-,-,-,-,-
0,한국,럭셔리로열,041639,암,2,-,-,-,-,-,-,-,-
1,한국,러피언파크,040610,수,2,-,-,-,-,-,-,-,-
2,한국,새로운군주,039771,거,3,-,0,0,0,0,0,0,0
3,한국,라피도볼트,041618,수,2,-,0,0,0,0,0,0,0
4,한국,샤이니파이어,040456,암,2,-,-,-,-,-,-,-,-
5,한국,라이징빅토리,040972,암,2,-,0,0,0,0,0,0,0
6,한국,라이언여제,041625,암,2,-,-,-,-,-,-,-,-
7,한국,런던보스,041317,수,2,-,-,-,-,-,-,-,-
8,한국,런던의러닝,040475,수,2,-,-,-,-,-,-,-,-
9,미국,런던이글,041895,암,2,-,-,-,-,-,-,-,-
0,한국,삼성비바,040429,수,2,-,0,0,0,0,0,0,0
1,한국,삼다홀릭,039725,암,3,-,-,-,-,-,-,-,-
2,한국,로열축제,039484,암,3,-,0,0,0,0,0,0,0
3,한국,삼정타퍼즈,041057,수,2,-,-,-,-,-,-,-,-
4,한국,레전드스톰,040347,수,2,-,-,-,-,-,-,-,-
5,한국,레인케이,041624,암,2,-,0,0,0,0,0,0,0
6,한국,산뜻한스침,040597,암,2,-,-,-,-,-,-,-,-
7,한국,레이크스타,040250,암,2,-,-,-,-,-,-,-,-
